Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Janssons frestelse kaffegrädde mjölk;257;124;4,1;5,5;13,5
Laxpudding;258;111;7,6;4,4;9,6
Sillpudding;259;126;6,6;6,6;9,5
Bakad potatis m skagenröra sallad;260;159;3,1;10,8;11,2
Potatissallad gräddfil majonnäs;261;151;2;9,1;14,6
Potatis- o purjolökssoppa;262;37;1,1;1,2;4,9
Pytt i panna vegetarisk;263;66;1,5;1,9;9,5
Potatissallad vinägrettsås;264;99;1,6;3,5;14,4
Potatismos pulver berik;265;362;8,2;4,3;68,2
Potatispalt;266;141;4,8;1,7;23,8
Potatiskroketter frysta;267;189;3;8;25,5
Potatis råstuvad hemlagad;268;78;2,2;1,2;14
Potatismos hemlagat;269;87;2,2;2,2;13,9
Potatisgratäng mjölk kaffegrädde ost hemlagad;270;139;5,7;5,9;15
Raggmunkar potatisplättar potatispannkakor hemlagade;271;149;4,2;5,5;20
Potatisstuvning;272;85;2,4;1,9;13,7
Potatisbullar;273;112;3,2;2,3;18,3
Potatismos;274;81;2,2;1,4;14
Potatisgratäng mjölk ost;275;94;3,9;2,5;12,9
Potatiskroketter frysta uppvärmda;276;291;4,6;12,3;39,2
Potatisgratäng vispgrädde hårdost fett 28% ;277;134;4,2;7,4;11,8
Potatismos lättmjölk;278;83;2,1;1,1;15,3
Potatisgratäng lättmjölk hårdost fett 17% ;279;85;4,6;1,6;12,1
Bakad potatis m kesoröra paprika;280;93;4;0,9;15,8
Schweizisk potatiskaka rösti fryst värmd;281;214;2,4;11,4;23,4
Potatiskroketter frysta värmda;282;177;2,8;7;23,9
Potatismos pulver berik tillagad;283;66;1,5;0,8;12,5
Potatisgratäng grädde ost fryst värmd;284;158;4,6;9,4;13,2
Grönsaksblandning morötter palsternacka purjolök rotselleri fryst;286;36;1,2;0,5;5,3
Jordärtskocka;287;69;2;0;12,9
Kålrot;288;35;0,8;0,1;6,4
Morot;289;36;0,7;0,2;6,6
Palsternacka;290;71;1,7;0,6;12,6
Pepparrot;291;81;4,5;0,6;10,8
Rotselleri;292;36;1,5;0,5;4,9
Rädisa;293;15;0,6;0,1;2,2
Rödbeta;294;51;1,2;0,1;9,8
Rättika;295;18;1;0,1;2,5
Rotpersilja;296;61;2,3;0,6;10,7
Majrova;297;35;1,1;0,3;6
Svartrot;298;75;1,4;0,4;14,2
Morötter konserv m lag;299;23;0,6;0,2;3,9
Morötter konserv u lag;300;23;0,6;0,2;4
Morotsjuice;301;34;0,7;0,4;6,3
Rotmos hemlagad;302;52;1;1,3;8,2
Jordärtskockspuré;304;48;1,3;1,5;6,3
Morötter kokta;305;44;0,8;0,3;8
Morötter stuvade;306;69;1,7;3;7,9
Morotssoppa;307;39;0,9;2,1;3,7
Morots- o ärtsoppa;308;38;1,5;1,1;4,8
Morotssoppa snabb;309;52;1,8;1,2;7,3
Jordärtskocka kokt;310;74;2,1;0;13,8
Rotselleri kokt;312;39;1,6;0,5;5,3
Rotsakssallad u dressing;313;40;1;0,2;7,2
Rotsaksgryta rötter brynta;314;63;1,3;2,7;7,2
Rotsaksbiff stekt;315;105;4,9;6,7;5,4
Rödbetssoppa typ Borsjtj;317;23;0,6;0,5;3,5
Rödbeta inlagd u lag;319;58;1,3;0,1;12
Avokado;320;197;1,9;19,6;1,7
Stjälkselleri;321;13;0,7;0,1;1,5
Blomkål;322;24;1,9;0,2;2,6
Blomkål fryst;323;24;2;0,3;2,3
Bondbönor färska kokta;324;67;5,6;0,6;7,5
Broccoli;325;35;3,5;0,3;3,1
Broccoli fryst;326;24;2,4;0,3;1,8
Brysselkål;327;44;3,4;0,3;4,7
Brysselkål fryst;328;41;3,8;0,4;3,4
Mungbönsgroddar;329;35;3;0,4;3,2
Sojabönsgroddar;330;146;13,1;6,7;7
Gröna bönor;331;30;1,8;0,1;3,5
Gröna bönor frysta;332;35;2,3;0,2;4,5
Champinjoner;333;26;2,5;0,2;2,9
Friséesallat;334;15;1,2;0,2;1
Endivesallat;335;14;1;0,1;1,1
Fänkål;336;29;2,8;0,4;1,8
Grönkål;337;50;3,3;0,7;5,7
Grönkål fryst;338;30;2,7;0,5;2,3
Gurka;339;13;0,8;0,1;2,3
Isbergssallat;340;15;0,8;0,1;2,5
