Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Fullkornsskorpor osötade;1604;387;12,9;6,2;64,1
Mandelkubb;1605;397;6,1;13,6;61,3
Munkar u fyllning;1606;425;5;25,9;42,7
Munkar fyllda m äppelmos vaniljkräm;1607;313;5,9;13,2;41,4
Wienerbröd fyllt m vaniljkräm sylt florsocker;1608;456;6,4;27,3;45,4
Sött vetebröd på bakpulver;1609;295;6,9;8,2;47,2
Saffransbröd;1610;297;6,8;8,2;47,8
Kex Cream Crackers;1611;484;7,8;22,5;60,3
Wafers fyllda rån kex;1612;538;4,1;29,9;62,3
Kex fullkorn Hob-nobs;1613;470;8,8;20,6;59,1
Kex Marie;1614;449;6,6;12,8;74,7
Kex Brago;1615;480;5,4;18,4;71,8
Kex Singoalla;1616;474;4;18,9;70,9
Kex Ballerina;1617;485;6,1;20,7;67
Maränger m choklad;1618;389;3,2;0,7;91
Småkakor ospec.;1619;492;4,7;21,4;68,8
Jitterbugg mördeg maräng;1620;515;6,7;30,5;52,8
Amerikanska cookies choklad;1621;486;5,2;22,9;63,3
Smörgåskex;1623;462;7;18,1;63,1
Pepparkakor;1624;461;5,3;15,9;72,9
Spettekaka;1625;427;11,8;9,8;71,4
Maräng;1626;395;1,9;0;95,3
Fyllda kex;1627;489;5,4;24,5;60,7
Cheese crackers ostkex;1628;492;10,1;25,3;54,1
Kex salta typ Salinas;1629;509;8,7;27;55,3
Kex salta m mjölk;1630;512;7,7;27,3;57,6
Kex sötade m sorbitol;1631;444;6;12;76,1
Pepparkakor sötade m sorbitol;1632;504;8;24;63,2
Smörgåsrån;1633;420;10;7,5;76,3
Fyllda rån sötade m sorbitol;1634;555;10;33;54,2
Fyllda rån sötade m fruktsocker;1635;507;9;23;65,2
Våffelstrut glasstrut ofylld;1636;416;6,3;6,4;80,8
Småkakor sötade m sorbitol;1637;546;7;33;54,6
Mandelbiskvier;1638;425;10,2;21;47,1
Mördeg gräddad;1639;506;5,7;34,7;42,7
Smördeg gräddad;1640;330;5,2;17,6;37
Smördeg fryst;1641;395;5;27,5;31,8
Filodeg plattor;1642;289;8;1,9;57,9
Wienerbröd;1643;512;7,1;35,5;40,4
Gräddtårta;1645;294;3;19;27,7
Toscabit mazarinmassa mandel choklad;1646;487;6,6;31,4;42,6
Bärtårta grädde vaniljkräm sylt gele;1647;245;3,2;11,1;31,4
Princesstårta fylld m grädde vaniljkräm hallonsylt marsipan;1648;295;4,3;13,8;37,3
Chokladtårta aprikossylt chokladöverdrag Sachertårta;1649;443;5,6;25,3;46,8
Napoleonbakelse grädde vaniljkräm hallonsylt glasyr;1650;349;3,2;20,6;37,2
Frukttårta hallonsylt vaniljkräm mandelmassa frukter gele;1651;249;5,1;7,5;37,4
Chokladbiskvi mandelbotten smörkräm choklad;1652;494;5,6;28,6;50,9
Mazariner mördegsbotten mazarinfyllning glasyr;1653;436;6,7;20,6;55
Drömrulltårta;1654;390;6,1;16,5;53,2
Rulltårta m sylt;1655;380;3;14,9;57,4
Punschrulle;1656;453;5;20,2;61,2
Chokladboll;1657;504;4,4;31,2;49,6
Gräddtårta hembakad jordgubb banan;1658;209;3;11,7;22
Potatisbakelse vaniljkräm smörkräm marsipan;1659;405;4,8;16,8;56,8
Äppelkaka m ströbröd;1660;174;1,4;5,1;29,5
Drömtårta chokladrulltårta;1661;384;4;16,8;53,5
Semla vetebulle fylld m mandelmassa vispad grädde;1662;333;5,4;16,3;39,7
Chokladrutor m glasyr o riven kokos;1663;389;3,9;17,4;53,5
Mjuk kaka med glasyr typ Ambrosiakaka;1664;360;3,7;14,7;52,8
Punschrulle Dammsugare;1665;489;6;28,2;50,3
Arraksboll;1666;458;5,8;21,5;59,2
Petits-choux fyllda m vispgrädde sylt;1667;275;4,9;20,7;17,4
Semla;1668;338;7,1;17,6;36,9
Fransk äppelkaka ;1669;194;2,5;10,8;21
Toscakaka;1671;387;6,2;18,3;48,7
Chokladkaka;1672;340;5,7;16,9;40,2
Chokladtårta sachertårta;1673;422;5,2;23,7;47,1
Amerikanska muffins ospec;1677;431;5,8;24,3;46,8
Mjuk kaka sockerkaka mjuk pepparkaka;1678;391;6,2;15,9;54,7
Sockerkaka lätt till tårtbotten;1679;297;6,3;4,1;57,6
Mjuk chokladkaka;1680;339;5,7;16,9;40,1
Sockerkaka fin;1681;414;5,1;20,5;52
Mjuk pepparkaka;1682;327;5,2;13,2;46,4
Mjuk nötkaka;1683;438;9,4;29,5;32,9
Sockerkaka fett 50 g i receptet;1684;296;4,9;8;50,3
Sockerkaka, saftig;1685;320;5,7;8,8;53,5
Digestivekex fullkorn 23%;1686;476;6,4;19,8;66,1
Mjuk fruktkaka;1687;377;6,2;17,9;46,4
Gräddglass fett 12% ;1689;209;3,5;12;21,8
Glass veg fett ca 8%;1690;171;3,2;7,5;22,6
Glass veg fett ca 10%;1691;193;3,3;9,7;23,1
Glasstrut fett ca 15% ;1692;271;4;15,3;29,2
Glass m sötmedel el lightglass fett ca 6% ;1693;139;4,3;5,7;17,5
Glasstrut Daim;1694;345;3,7;20,8;35,1
Glass m chokladkex GB Sandwich;1695;266;4,7;10,4;37,4
Gräddglass fett 15% ;1696;222;3,7;14,5;19,6
Glass veg fett 12%;1697;200;3,8;12;19,3
Lättglass fett ca 5% ;1698;167;4,3;4,7;26,6
Glasspinne fett ca 25% ;1699;349;4,6;25,3;26
Glasspinne m kakaoöverdrag fett 20% ;1700;307;3,8;20,1;28
Glasspinne el split m isöverdrag fett ca 6% ;1701;151;1,7;6;22,3
Glasstrut fett ca 10% ;1702;244;3,6;10,3;34
Mjukglass vanilj;1703;154;3,1;7;19,7
Glasstårta fett 17% typ Vienetta;1705;261;4,4;17;22,2
Glass m maräng fett 10% ;1706;235;4;12,8;25,8
Glass m havre 10% fett vanilj Oatly;1707;182;1,1;9,7;22,3
Glass parfait;1708;246;2,1;18,7;14,5
Matlagningsbas m havre fett 13% Oatly iMat;1712;146;1,2;13;6,1
Gräddfil fett 12% ;1713;137;3,1;12;4,4
Kaffegrädde fett 12% ;1714;137;3,1;12;4,4
Vispgrädde fett 40% ;1715;375;2,1;40;3
Mellangrädde fett 27% ;1716;264;2,6;27;3,7
Matlagningsgrädde fett 15% ;1717;162;3;15;4,3
Matlagningsgrädde fett 5% typ Laga lätt;1718;85;3,3;5,4;5,8
Crème fraiche fett 34% ;1719;323;2,3;34;3,3
Crème fraiche lätt fett 15% ;1721;162;3;15;4,3
Vitt pulver till kaffe 35% fett;1725;557;4,8;35,5;54,9
Gräddfilssås med kryddgrönt;1726;128;3,1;10,9;4,6
Filmjölks- o gräddfilsås olika smaksättningar fett ca 9%;1727;119;3,4;9,6;4,9
Gräddfils- o crème fraichesås 15% fett;1728;174;3,3;15,9;4,7
Rabarberkräm;1729;62;0,5;0,1;14,2
Rabarbersoppa;1730;50;0,4;0,1;11,4
Apelsinsoppa;1732;52;0,6;0,1;12
Blåbärssoppa;1734;40;0,2;0,2;8,6
Svartvinbärskräm;1740;87;0,2;0;21,2
Äppelkompott;1741;97;0,1;0,1;23,4
Äppelkräm;1742;65;0,1;0,1;15,4
Äppelsoppa;1743;40;0,1;0;9,3
Kräm bär o el frukt ospec.;1744;68;0,2;0,1;15,8
Pajfyllning efterrätt;1745;113;0,9;0,4;24,8
Saftkräm;1746;105;0,1;0;25,7
Saftsoppa;1747;76;0,1;0;18,5
Saftsås;1748;95;0,1;0;23,2
Blåbärssoppa berik pastöriserad ;1749;46;0,3;0;10,9
Fruktsoppa ätf blandad torkad frukt pastöriserad berik ;1750;54;0,2;0;12,9
Nyponsoppa ätf pastöriserad el på pulver berik ;1751;52;0,2;0,1;12,1
Nyponsoppa ätf pulver osötad berik ;1752;20;0,2;0,1;4,3
Saftkräm pastöriserad berik;1754;80;0,2;0;19,2
Katrinplommonkaka;1758;198;5,7;6;28,3
Kalvdans mjölkpulver ägg;1759;130;9,6;3,8;14
Ostkaka färskost;1760;149;10,2;6,3;12,6
Marängsviss hovdessert;1761;349;5;23,8;27,4
Brylépudding;1762;142;5,1;4,2;20,7
Vaniljsås mellanmjölk matlagnings- o vispgrädde hemlagad;1763;192;3,8;14,6;11,8
Chokladpudding;1764;129;3,7;3,3;20,3
Chokladpudding m vispad grädde;1765;174;3,4;10,1;17,1
Chokladmousse;1766;421;4,1;30,2;33,5
Ananas- och citronfromage;1767;180;2,9;10,5;18,4
Chokladsås;1768;251;4,5;4,1;45,1
Kolasås;1769;322;2;22;29,4
Vaniljpudding;1770;91;6,8;4,9;5
Vaniljsås mjölk kaffegrädde;1771;106;4,8;4;12,6
Ostkaka fett 9% ;1772;183;10,1;8,8;15,8
Ostkaka lätt osockrad fett 3% ;1773;111;12;3;8,6
Citronfromage;1775;173;2,4;11;16,2
Vaniljsås m havre 11% fett Oatly;1776;162;0,9;11;14,5
Vaniljsås pulver tillagad m mjölk;1777;106;3,1;3,2;16,1
Glassås choklad typ Ohoj;1778;352;3,1;5,5;69,5
Glassås frukt typ Ohoj;1779;317;0,1;0;77,8
Äppelpaj m botten o lock;1780;291;3,2;12,5;40
Rabarberpaj;1781;234;2,6;11,4;29,5
Äppelpaj;1782;230;2,3;11,7;28,1
Frusen cheesecake frusen ostkaka;1783;245;5,5;19;13,2
Cheesecake el ostkaka m botten av digestivekex;1784;299;4,9;22;20,7
Mannagrynskaka el mannagrynspudding;1785;113;5,3;3,7;14
Äppelsmulpaj;1786;242;2,3;11,4;31,6
Katrinplommonsufflé;1788;199;5,4;0,3;40,9
Friterad äppelpaj;1789;303;2,6;16,6;35,1
Friterad banan;1790;203;3,1;5,2;34,6
Ugnsstekt äpple;1791;129;1,6;5,7;16,6
Friterad banan m glass restaurang;1792;253;2,4;13,2;30,3
Apelsinmarmelad;1793;233;0,2;0;56,9
Rödvinbärsgelé;1794;280;0,2;0;68,4
Svartvinbärsgelé;1795;265;0,2;0;64,7
Apelsinmarmelad lättsockrad;1796;185;0,5;0,1;44,5
Marmelad aprikos björnbär jordgubbar;1797;238;0,3;0,1;57,7
Lingonsylt;1798;161;0,2;0,2;38,3
Lingonsylt osötad;1800;43;0,4;0,4;8,8
Jordgubbssylt;1801;172;0,3;0,1;41,1
Björnbärssylt;1802;174;0,2;0,1;41,2
Blåbärssylt;1803;148;0,2;0,3;34,9
Hallonsylt;1804;184;0,4;0,2;43,6
Hjortronsylt;1805;181;0,5;0,3;42
Krusbärssylt;1806;163;0,3;0,2;38,5
Körsbärssylt;1808;181;0,7;0,3;42,6
Äppelmos;1809;233;0,2;0;56,9
Äppelmos lättsockrat;1810;128;0,2;0;30,9
Äppelmos osötat el m sötmedel u energi;1811;48;0,2;0;11,3
Cumberlandsås;1812;200;0,6;0,3;45,1
Sylt mos marmelad lättsockrade ospec;1813;151;0,3;0;36,3
Apelsinsaft konc berik ;1814;194;0,3;0;47,5
Apelsinsaft drickf berik ;1815;31;0;0;7,5
Saft lättsockrad konc;1817;81;0,1;0;19,8
Saft lättsockrad drickf;1818;20;0;0;5
Saft röd konc;1819;196;0,1;0;48,2
Saft röd drickf;1820;49;0;0;12,1
Svartvinbärssaft konc berik ;1821;174;0,4;0;42,3
Saft sötad m sorbitol konc;1822;93;0,5;0;22,5
Saft osötad el m sötmedel u energi konc;1825;85;0;0;21
Fruktdryck m kolsyra;1826;40;0;0;9,9
Fruktdryck u kolsyra;1827;48;0;0;11,9
Läsk m kolsyra;1828;36;0;0;8,9
Coladryck;1829;43;0;0;10,5
Lightläsk;1830;1;0;0;0,2
Cola light;1831;1;0,1;0;0,1
Sportdryck drickf;1832;29;0;0;7,2
Saft sötad m sorbitol drickf;1834;19;0,1;0;4,5
Hallonsaft drickf;1837;37;0;0;9
Svartvinbärssaft drickf berik ;1838;33;0;0;8
Måltidsdricka äpple lingon drickf berik ;1839;32;0;0;7,9
Lingondricka drickf berik ;1840;28;0;0;7
Äppeldricka drickf berik ;1841;32;0;0;7,9
Saft osötad el m sötmedel u energi drickf berik ;1842;17;0;0;4,2
Isglass;1843;95;0,1;0;23,3
Sorbet;1844;132;0,8;0,6;30,5
Isglass Saftis;1845;97;0;1,5;20,5
Chokladdryck på vatten;1846;57;1,2;2,6;6,8
Chokladdryck Pucko;1847;68;3,5;1,5;9,8
Mjölkchoklad m hackade hasselnötter Schweizernöt;1848;545;8,7;31,8;55,6
Mjölkchoklad fylld m mandelkrokant Daim;1849;539;4,1;31,1;60,1
Mjölkchoklad m mjuk kolafyllning Plopp Center;1850;497;6,5;24,3;62,9
Kex överdragna m mjölkchoklad kitkat;1851;497;5,4;22,3;67,2
Kex och kola överdragen m mjölkchoklad Twix/Lion;1852;481;5,2;21,2;66,1
Kola och jordnötter överdragen m mjölkchoklad Snickers;1853;490;10,6;25,1;54
Mjuk kola och mjuk chokladmaräng överdragen m mjölkchoklad Japp Mars;1854;445;4;16,2;69,3
Choklad o chokladpraliner;1855;547;7,4;33,7;53,7
Chokladpraliner;1858;540;6,6;33,5;53,3
Mjuk kokos överdragen m tjockt lager mjölkchoklad Bounty;1859;478;3,6;25,7;56,1
Nöt- och chokladkräm Nutella;1860;526;5,8;29,6;56,9
Choklad u tillsatt socker;1861;577;10;39;46,9
Gelékonfekt;1863;352;7,3;0;79,4
Karameller syrliga;1864;395;3;0;94,2
Kola ;1865;456;4,1;18;68,9
Lakritskonfekt;1866;378;0;3,2;86,1
Marmeladkonfekt;1867;336;0;0;82,6
Skumgodis;1868;335;2;0;80,4
Polkagrisar;1869;399;0;0;98,1
Tuggummi;1870;378;0,4;0;92,7
Klubba chokladkola karamell;1871;436;2,5;11,1;80,6
Saltlakrits;1873;395;3;0;94,2
Supersalt lakrits Djungelvrål;1874;343;7,8;0;76
Chokladkola mörk m chokladöverdrag Riesen;1875;470;4,3;18,2;71,7
Kexchoklad;1876;513;8,5;26,5;59,8
Fruktkola AKO;1877;394;0,7;0;96,3
Skumbilar Ahlgrens bilar;1878;369;6,9;0,1;83,7
Chokladboll med kokos;1879;412;5;20;52,6
Mums-mums;1880;396;5;15;59,6
Energibar choklad nötter Start;1881;419;7,1;11,2;69,6
Karameller syrliga sockerfria;1882;402;0;0;98,9
Tuggummi sockerfritt;1884;352;0,6;0;86,1
Mandelmassa;1885;460;9,9;23;51,5
Kakaopulver fett 20-22% ;1886;394;23,5;21,5;10,6
Kakaopulver m socker fett 2,5% ;1887;391;4,5;2,5;83,2
Chokladbollar;1888;428;6;21,1;51,1
Måltidsersättning chokladsmak pulver Nutrilett Intensiv;1891;377;35;9;32,6
Socker;1892;405;0;0;99,6
Brun farin;1893;388;0;0;95,5
Ljus sirap;1894;323;0;0;79,6
Honung;1896;332;0,3;0;81,5
Druvsocker;1897;370;0;0;91,1
Fruktsocker;1898;373;0;0;91,7
Sorbitol m sackarin;1899;406;0;0;100
Svagdricka  vol. % 2,3;1900;29;0,2;0;3,8
Öl lättöl vol. % 2,3 ;1901;29;0,2;0;3,8
Öl pilsner vol. % 3,5 ;1902;40;0,4;0;4,6
Cider vol. % 1 ;1903;47;0;0;10,1
Vitt vin  vol. % 1;1904;17;0;0;2,8
Rödvin rosévin vol. % 1;1905;17;0;0;2,8
Öl starköl el exportöl vol. % 5,6 ;1906;47;0,6;0;3,2
Rödvin vol. % 12 ;1907;72;0;0;0,8
Vitt vin halvtorrt el halvsött vol. % 12,5 ;1908;81;0,1;0;3
Vitt vin el rhenvin  vol. % 10;1909;71;0,1;0;3,8
Vitt vin sött vol. % 13,5 ;1910;99;0,2;0;5,9
Vitt vin torrt vol. % 12 ;1911;68;0;0;0,4
Vinglögg vol. % 10 ;1912;125;0;0;17
Madeira vol. % 18 ;1914;129;0;0;7,9
Portvin vitt rött vol. % 20 ;1915;150;0;0;9,5
Sherry halvtorr vol. % 17 ;1916;125;0;0;3,4
Starkvinsglögg vol. % 16 ;1917;179;0;0;22,3
Brännvin renat el vodka vol. % 40 ;1918;222;0;0;0
Likör söt vol. % 24;1919;266;0;0;33
Likör Kaptenlöjtnant vol. % 38 ;1920;321;0;0;27
Konjak el brandy vol. % 40;1921;225;0;0;0,8
Punsch vol. % 26;1922;244;0;0;26
Rom vol. % 40 ;1923;223;0;0;0,3
Kryddat brännvin vol. % 40 ;1924;226;0;0;1,1
Gin vol. % 40 ;1925;222;0;0;0
Whisky vol. % 40 ;1926;222;0;0;0
Likör mindre söt vol. % 24 ;1927;232;0;0;24,7
Irish coffee;1929;105;0,3;5,2;4,6
Bovetemjöl ljust;1930;357;6,6;2;76
Havremust pulver berik;1931;358;15,8;5,8;56
Kornmjöl fullkorn;1932;341;9,2;3;64,7
Majsmjöl gult u groddar el polenta;1933;349;7,8;1,2;73,2
Rågmjöl fullkorn;1934;326;8,2;2,5;60,2
Grahamsmjöl fullkorn vete;1935;331;10;2,5;60,7
Vetediet berik;1936;388;19;8,5;53,5
Vetemjöl bagerivetemjöl berik;1937;347;10,4;1,4;70,5
Vetemjöl bagerivetemjöl;1938;348;10,6;1,6;70,2
Vetemjöl berik;1939;357;10,2;1,6;73,1
Grovt vetemjöl berik;1940;346;10;2,5;67
Vetemjöl;1941;352;8,5;1,9;72,4
Mjölblandning grov vete råg vitberik;1942;337;10;2,5;63,2
Mjölblandning rågsikt m vetemjöl vitberik;1943;347;9,2;2,5;68,4
Mjölblandning vete råg korn havre vitberik;1944;342;10;2,5;66
Majsstärkelse;1945;354;0,3;0;85,9
Potatismjöl el potatisgryn;1946;334;1;0;80,6
Samarinpulver;1947;0;0;0;0
Samarin drickf;1948;0;0;0;0
Sodavatten;1949;0;0;0;0
Vichyvatten;1950;0;0;0;0
Mineralvatten;1951;0;0;0;0
Mineralvatten m tillsatt kalium;1952;0;0;0;0
Kranvatten;1953;0;0;0;0
Snabbkaffe pulver;1955;304;19,5;1,7;42,6
Snabbkaffe drickf;1956;2;0,1;0;0,4
Kaffe bryggt;1957;2;0,1;0;0,4
Bryggt kaffe espresso drickf;1958;9;0,1;0,2;1,7
Snabbkaffe koffeinfritt drickf;1959;2;0,2;0;0,3
Tepulver;1960;309;11,7;0,4;61,8
Te bryggt;1962;1;0;0;0,3
Örtte drickf;1963;1;0;0;0,3
Nyponte m svarta vinbär drickf;1964;3;0;0;0,7
Ättiksprit ättiksyra 12 %;1965;49;0;0;12
Vinäger ättiksyra 7 %;1966;30;0,4;0;7
Äppelcidervinäger ättiksyra 7 %;1967;30;0,4;0;7
Chilisås tomat;1968;81;1,5;0,5;16,7
Ketchup tomatketchup;1969;109;1,5;0,5;23,7
HP-sås;1970;107;1,1;0;25,2
Grillsås;1971;100;1,5;6,9;8
Senap svensk;1972;165;5,7;6,4;20,2
Senap fransk;1973;93;6;5;5,3
Sötsur sås;1974;96;0,2;0;23,3
Joderat salt;1975;0;0;0;0
Mineralsalt;1976;0;0;0;0
Havssalt;1977;0;0;0;0
Örtsalt;1978;128;7,6;0,5;22,9
Färsk jäst;1979;110;12,1;0,4;14,1
Torrjäst;1980;360;37;1,6;48,1
Bakpulver;1981;174;0,1;0;42,4
Vit sås béchamelsås på lättmjölk;1982;86;4,1;3,8;8,7
Ljus stuvning;1983;134;3,4;8,9;10,1
Ljus stuvning lättmjölk;1984;73;3,2;2,9;8,3
Vit sås béchamelsås standardmjölk;1985;108;4;6,4;8,5
Vit gratängsås;1986;122;5,4;7,3;8,7
Ljus sås buljong;1987;62;1;4,9;3,5
Ostsås;1988;153;7,7;10;8,1
Ostsås gorgonzola ädelost kaffe- o vispgrädde;1989;376;4,4;39,2;2,8
Ostsås till moussaka;1990;132;8,8;7,5;7,4
Brunsås med mjölk;1991;92;2,4;6,6;5,8
Sky;1992;33;1,4;3,1;0
Brunsås vatten buljongtärning;1993;93;1,1;8,5;3,4
Brunsås buljong;1994;69;1,8;5,4;3,4
Currysås;1995;64;1;5,1;3,6
Brunsås kaffegrädde;1996;75;1,6;6;3,7
Korintsås;1997;98;1,2;3,5;14,7
Brunsås pulver tillagad m mjölk vatten;1998;56;2,3;2;7,1
Gräddsås pulver tillagad m mjölk vatten smör;1999;117;2,7;8,4;7,6
Tomatsås tomatröra;2000;61;1,3;4;4
Dillsås;2001;83;0,9;7,1;3,9
Äggsås m persilja;2002;93;3,1;8,2;1,9
Pestosås basilika parmesan valnöt;2003;628;12,3;61,9;6,4
Pestosås m basilika pinjenötter cashewnötter;2004;581;4,2;57,1;12,6
Dippmix pulver olika smaker;2006;307;11,4;1,1;59,3
Sweet chilisås;2007;182;0,8;2,9;37,2
Pastasås m tomat Findus;2008;106;1,9;4,4;13,1
Pastasås olika märken;2009;51;1,6;2,1;5,3
Sweet&sour sås Uncle Ben;2010;107;0,4;2,5;20,1
Orientalisk sås Uncle Ben;2011;91;1,1;4,8;10,1
Teriyakisås ;2012;111;3,2;0,8;22,2
Frukostflingor fullkorn müsli Plus ;2024;374;8,2;4,5;69,9
Frukostflingor fullkorn müsli Bär ;2025;366;8,6;3,5;68,9
Frukostflingor fullkorn frukt nötter kokosolja socker typ Start hasselnöt;2027;455;9,9;17,1;61,2
Frukostflingor fullkorn frukt nötter kokosolja socker crunchy russin;2028;450;7,1;16,3;65,5
Frukostflingor frukt nötter/kokos olja socker: ICA Crunchy naturell;2029;461;7,4;17,7;64,8
Frukostflingor fullkorn frukt nötter kokos olja socker F-müsli tropical ;2030;412;6,5;10,9;67,6
Frukostflingor fullkorn frukt olja socker typ Signum früsli crisp jordgubb;2031;466;7,4;18,4;64,4
Frukostflingor fullkorn flingblandning frukt olja familjemüsli;2032;378;9,4;6,1;66,1
Frukostflingor fullkorn frukt olja F-müsli banan;2033;381;8,2;7;65,2
Crab sticks Ullmo;2035;124;6,1;2,4;18,8
Matlagningsbas fett 15% typ Milda mat;2036;155;2;15,3;3
Milda Minimat 7% fett;2037;89;1,1;7,1;5,4
Milda Fraiche 24% fett;2038;245;2,3;24;5,8
Milda Visp 20% fett;2039;206;2,8;19,7;5
Milda kaffe 10% fett;2040;118;3;9,9;4,4
Milda Vaniljvisp 12% fett;2041;202;4,4;12,1;19,1
Creme Fraiche Blue Cheese  fett 15%;2042;176;4,3;15,1;6,1
Creme Fraiche fett 13% smaksatt;2043;156;2,9;13,2;6,7
Creme Fraiche fett 28% smaksatt;2044;275;2;28,1;4,4
Frukostost fett 13% Kavli berikad +ABCDE;2045;199;14,4;13,1;6,1
Mini Fraiche fett 5%;2046;84;3,8;5,2;5,7
Milko greve fett 13% smältost;2047;187;14,3;13;3,4
Fjällfil naturell fett 4,2% ;2048;68;3,5;4,1;4,2
Fjällyoghurt fett 3,6 % , olika smaksättningar;2049;91;3;3,7;11,5
Fettfri majonnäs  fett < 0.5%;2050;83;0,5;0,5;18,8
Vit choklad;2051;585;6;39,3;52,4
Mörk choklad kakao >70 % ;2052;572;9,7;37;50,7
Mörk choklad kakao <70% ;2053;537;6,3;28,8;63,1
Mörk blockchoklad;2054;556;5,6;32,8;59,8
Mjölkchoklad ospec.;2055;564;9,2;35,2;52,9
Kebabkött djupfryst stekfärdigt;2056;248;14,3;18,6;6,2
Avorio ris okokt;2057;358;6,7;1,3;78,1
Rostad lök;2058;607;6,4;48,5;35
Glasspinne hallon o mjölk fett 5,5% typ SIA;2059;166;3,3;5,6;25,5
Glasspinne fett 10%;2060;199;4,1;10,2;22,6
FiberBar naturell All-Bran;2061;446;6,9;20,8;49,9
Knäckemacka vete olika fyllningar typ Wasa Sandwich;2062;487;11,7;25;52,1
Fullkornsmacka råg olika fyllningar typ Wasa sandwich;2063;471;12,6;24,5;45,9
Falafel kikärtskroketter frysta;2064;241;7,3;11,2;24,2
Pytt-i-panna vegetarisk;2065;127;5,6;3,6;16,3
Sojakorv;2066;226;16,4;16;0,8
Gourmetbullar vegetariska djupfrysta typ Hälsans kök;2067;165;18,5;7;4,3
Vegetarisk färs sojaprotein fryst;2068;168;17,7;6,8;5,5
Vegebitar, grytbitar av veteprotein;2069;232;27,4;9,1;9,9
Matlagningsbas m soja fett 17% Alpro soya Cuisine;2070;188;2,9;17,5;5,2
Müslibar fullkorn berikad typ Special K Bar Red fruit;2071;393;8,4;4,4;77,9
Müslibar berikad typ Special K Chocolate;2072;399;8,1;6,5;73,2
Jordnötssås;2073;324;5,3;26,7;15,4
Kall sås skola coleslaw;2075;134;2,9;11,7;4,5
Chilisås söt;2076;120;1,3;0,4;26,6
Löksås med grädde;2078;201;2,6;18,1;7,2
Äggnudlar kokta m salt;2079;131;4,9;1,5;23,8
Nässelstuvning;2080;84;4,2;5,2;4,2
Kantarellstuvning;2081;153;3,8;11,2;8,9
Ratatouille;2083;56;1,2;2,9;5,2
Potatisgratäng med gräddmjölk;2085;153;4;8,7;14
Crème Fraiche gourmet Bearnaise Saffran & tomat fett 27%;2086;279;2,4;27,3;6,8
Kebabpanna;2090;133;7,2;8,2;7
Dansk sjömansbiff;2092;127;6,3;4,5;13,8
Kreolsk festgryta;2093;246;14;19,2;4,5
Flygande Jakob Kyckling bacon jordnötter banan;2096;213;13,6;15,3;5,1
Prinskorv stekt;2097;277;10,3;24,7;3,9
Skinkröra;2098;206;10,3;17,6;2,1
Hamburgare blandfärs stekt;2099;242;22,2;17,8;0
Köttfärssås blandfärs 70/30;2100;113;8,5;6,9;3,8
Nötfärs stekt;2101;193;21,4;12;0
Stekt kött nöt/gris ospec.;2103;180;24,5;9;0
Carbonara;2104;340;21,3;28;1,5
Thaigryta fisk och skaldjur;2106;134;11,1;8,8;2,2
Skagenröra;2107;198;12;15,7;2,4
Fisksoppa, mager fisk;2108;37;4,7;0,3;3,2
Tonfiskröra mager;2109;157;9,3;11,7;3,6
Havregrynsgröt fullkorn fiberhavregryn;2123;62;2,3;1,2;9,1
Havregrynsgröt fullkorn fiberhavregryn m mjölk kokt;2124;66;3,3;1,2;9,5
Glasnudlar kokta m salt;2125;134;0,1;0;32,9
Majsvälling;2127;44;1,8;1,5;5,7
Gröt fullkorn ospec.;2128;78;3;2,1;11,3
Pannkaka på sojadryck;2133;175;6,1;6,7;22,2
Skink- o broccolipaj;2134;234;10,4;14,8;14,7
Kebabpizza hemlagad;2138;190;7,9;9,6;17,3
Vit sås med grädde;2141;153;3,8;12,1;7,5
Ost- och skinksås;2142;133;8,4;7,8;7,2
Tzatziki;2144;63;2,2;4,3;4
Ris a la malta fett 3%;2147;85;2,2;2,3;13,7
Rödkål med äpple;2160;90;1;2,8;14
Champinjoner stekta utan fett;2161;41;3,8;0,4;4,5
Palsternacka kokt ;2162;67;1,6;0,6;12
Gratängsås med ost;2163;125;5,7;8,5;6,6
Fänkål kokt;2164;32;3,2;0,5;2
Kroppkakor;2165;150;5,2;4,8;20,2
Ugnspannkaka m mellanmjölk;2171;168;8,4;4,1;23,9
Currysås m Lätt Crème Fraiche;2173;59;2,9;3,1;4,9
Korv stroganoff, mager korv;2174;107;4,5;7,4;5,5
Ostkaka fett 7%;2184;172;10;7;17
Rapsolja;2189;884;0;100;0
Matfettsblandning fett 75% berikad typ Bregott;2190;667;0,5;75;0,5
Lättmargarin fett 40% berikad typ Lätta;2192;368;0,5;40;3
Äggröra u mjöl (Fin äggröra);2197;180;12,6;14,4;0,4
Ägg konventionellt kokt;2205;137;12,3;9,7;0,4
Aloe Vera Juice Syreberikad Hela Pharma AB;2210;4;0;0,2;0,5
Aloe Vera Juice Sasco;2214;3;0;0,1;0,5
Aloe Vera Juice med grönt te Naturapoteket;2216;30;0;0,4;6,5
Aloe Berry nectar Forever Living Products;2217;39;0;0,2;9,1
Aloe Vera naturell Forever Living Products;2218;19;0;0,1;4,4
Toscaglasyr;2219;513;7;36,1;39,5
Pasta glutenfri okokt ;2220;362;7,3;1,3;77,6
Fusilli / lasagneplattor glutenfri okokt;2221;361;7,4;1,4;76,9
Pepparkakor glutenfria;2222;460;1,5;16,2;75,6
